type,entry_price,exit_price,position_size,gross_pnl,fees,pnl,pnl_pct,capital_before,capital_after,exit_reason,bars_held,date
long,30.549999237060547,30.149727957589285,269.84884295510545,-108.01274163347975,16.379751151166808,-124.39249278464655,-1.3102169868000835,10801.274163347975,10676.881670563327,stop_loss,14,2022-01-11
long,30.1200008392334,29.71914373125349,266.35131217626895,-106.76881670563328,15.938234675854641,-122.70705138148793,-1.3308668552816427,10676.881670563327,10554.174619181838,stop_loss,3,2022-02-24
short,29.65999984741211,28.959999084472656,211.32510444697937,147.92773434114517,12.387877396962367,135.53985694418282,2.360083501485688,10554.174619181838,10689.71447612602,time_stop,78,2022-05-15
long,29.010000228881836,28.506643295288086,212.36847578131287,-106.89714476126021,12.214721917285086,-119.1118666785453,-1.735115234823803,10689.71447612602,10570.602609447475,stop_loss,69,2022-07-25
short,28.709999084472656,29.019113268171036,341.964334440305,-105.70602609447475,19.74129748350139,-125.44732357797614,-1.0766777901625169,10570.602609447475,10445.155285869498,stop_loss,4,2022-07-31
long,29.209999084472656,28.790872028895787,249.2121457416588,-104.45155285869498,14.454521545047944,-118.90607440374292,-1.4348752780333651,10445.155285869498,10326.249211465754,stop_loss,2,2022-08-04
short,28.600000381469727,28.030000686645508,216.81434562410394,123.58411083925193,12.278196624275711,111.30591421497623,1.9930058993758881,10326.249211465754,10437.55512568073,time_stop,78,2022-10-23
long,28.139999389648438,27.782328741891043,291.82028749422113,-104.3755512568073,16.319269872692022,-120.69482112949932,-1.2710399982772125,10437.55512568073,10316.860304551232,stop_loss,3,2022-10-29
short,27.459999084472656,25.420000076293945,247.26158178187615,504.41338159572655,13.075192237115433,491.3381893586111,7.428984254162763,10316.860304551232,10808.198493909844,time_stop,78,2023-01-17
long,25.6299991607666,26.90999984741211,239.8013542093129,306.9458980464432,12.599162912317212,294.346735134126,4.994150326016711,10808.198493909844,11102.54522904397,time_stop,78,2023-04-09
short,27.43000030517578,27.71727098737444,386.4837561588027,-111.0254522904397,21.31352455105332,-132.33897684149304,-1.0472864710265872,11102.54522904397,10970.206252202477,stop_loss,31,2023-07-04
long,27.399999618530273,28.584999084472656,400.3724965303819,474.44119456652106,22.414853698971477,452.0263408675496,4.32481562934397,10970.206252202477,11422.232593070026,time_stop,78,2023-10-21
long,29.010000228881836,28.756085532052175,393.7343158549256,-99.97492944173727,22.744490256698313,-122.71941969843559,-0.8752660972986437,11422.232593070026,11299.51317337159,stop_loss,21,2023-11-27
short,28.559999465942383,25.790000915527344,395.6412249533193,1095.925619605125,21.503100727138055,1074.422518877987,9.698874657607204,11299.51317337159,12373.935692249577,time_stop,78,2024-02-15
long,27.049999237060547,29.034500122070312,351.1624750699189,696.8822425584739,19.694771608009674,677.1874709504642,7.336417526736372,12373.935692249577,13051.123163200042,time_stop,78,2024-05-20
long,29.549999237060547,29.153315135410853,329.00545065769523,-130.51123163200043,19.313710400215314,-149.82494203221574,-1.3424166223063305,13051.123163200042,12901.298221167826,stop_loss,1,2024-05-23
long,29.314699172973633,29.90999984741211,257.0797469621895,153.0397467510643,15.2254706380726,137.8142761129917,2.030724146019236,12901.298221167826,13039.112497280817,time_stop,78,2024-08-12
long,30.010000228881836,29.669786180768693,383.2620248810086,-130.39112497280817,22.87299578382876,-153.26412075663694,-1.1336689287516855,13039.112497280817,12885.84837652418,stop_loss,28,2024-09-11
short,29.719999313354492,28.514999389648438,433.57498903891315,522.4578287127439,25.249238924335614,497.2085897884083,4.054508585283168,12885.84837652418,13383.056966312588,time_stop,78,2024-11-30
long,29.81999969482422,29.472656522478378,385.2978273886267,-133.83056966312589,22.84533162062744,-156.67590128375332,-1.1647993826308767,13383.056966312588,13226.381065028834,stop_loss,5,2025-01-14
short,29.399999618530273,29.475000381469727,254.99113344543213,-19.124529551203313,15.012602981599816,-34.13713253280313,-0.2551046391584988,13226.381065028834,13192.24393249603,time_stop,78,2025-04-04
long,29.559999465942383,31.360000610351562,421.67016180390976,759.0067738102415,25.688146289265063,733.3186275209764,6.08931385970779,13192.24393249603,13925.562560017006,time_stop,78,2025-06-24
long,32.33000183105469,32.0970698765346,430.73188281235304,-100.33121933759988,27.750793900696415,-128.0820132382963,-0.7204823424920015,13925.562560017006,13797.48054677871,stop_loss,0,2025-08-02
long,32.119998931884766,31.837129047938756,429.56042981316153,-121.50970892904698,27.47345138462837,-148.98316031367534,-0.880665919528445,13797.48054677871,13648.497386465035,stop_loss,1,2025-08-05
short,31.749900817871094,32.18001529148647,317.32243911117536,-136.48497386465036,20.286396911994164,-156.77137077664452,-1.3546954873423722,13648.497386465035,13491.72601568839,stop_loss,2,2025-08-09
long,31.989999771118164,31.446414130074636,248.19871970473986,-134.91726015688388,15.744836712936014,-150.6620968698199,-1.6992361517123133,13491.72601568839,13341.063918818569,stop_loss,19,2025-08-30
short,30.110000610351562,30.510000228881836,179.21580067666997,-71.68625190526551,10.864061987423618,-82.55031389268913,-1.3284610110328554,13341.063918818569,13258.51360492588,time_stop,78,2025-11-18
short,30.260000228881836,28.6200008392334,438.15312308792426,718.5708544367525,25.798456355415006,692.7723980813374,5.4196939102569175,13258.51360492588,13951.286003007217,time_stop,78,2026-02-10
short,28.389999389648438,27.6200008392334,283.2008697761426,218.06425920390805,15.862080780981282,202.20217842292678,2.7122175659355485,13951.286003007217,14153.488181430144,time_stop,78,2026-05-01
short,27.59000015258789,27.90569850376674,448.3231581216569,-141.53488181430146,24.8800068837847,-166.41488869808614,-1.1442491824315448,14153.488181430144,13987.073292732059,stop_loss,4,2026-05-07
long,27.959999084472656,27.640713827950613,438.07451196126226,-139.8707329273206,24.357255173808078,-164.2279881011287,-1.1419358618625863,13987.073292732059,13822.84530463093,stop_loss,7,2026-05-16
short,27.420000076293945,27.63559913635254,504.1154364029896,-108.68681424951235,27.75437742351137,-136.44119167302372,-0.7862839513446573,13822.84530463093,13686.404112957905,stop_loss,0,2026-07-12
long,28.25,27.90225737435477,393.5785579223457,-136.86404112957905,22.10032448148295,-158.964365611062,-1.2309473474167332,13686.404112957905,13527.439747346843,stop_loss,8,2026-07-22
short,27.71500015258789,28.250443322317942,252.64006550250386,-135.27439747346844,14.139113305376888,-149.41351077884534,-1.9319616337077905,13527.439747346843,13378.026236567997,stop_loss,75,2026-10-07
long,28.079999923706055,27.692086356026785,344.8713154480087,-133.78026236568,19.234192760571304,-153.01445512625128,-1.3814585781098287,13378.026236567997,13225.011781441746,stop_loss,8,2026-10-17
short,26.93000030517578,27.248687199183873,414.98448885400165,-132.25011781441748,22.483314940777376,-154.73343275519485,-1.1833898640797313,13225.011781441746,13070.278348686552,stop_loss,45,2026-12-11
long,27.8700008392334,28.760000228881836,255.99741838734673,227.8375461163143,14.49713407671019,213.3404120396041,3.1933956327534707,13070.278348686552,13283.618760726156,time_stop,78,2027-03-01
long,28.959999084472656,28.62782778058733,399.90265881944015,-132.83618760726156,23.029525078971076,-155.86571268623265,-1.1470003949807572,13283.618760726156,13127.753048039924,stop_loss,6,2027-03-09
short,28.700000762939453,27.610000610351562,344.9095058875251,375.9514140464163,19.421854750187663,356.5295592962286,3.7979098383698173,13127.753048039924,13484.282607336152,time_stop,78,2027-05-29
short,27.56999969482422,27.82668658665248,489.09259182427877,-125.54365721160343,27.094108871883908,-152.63776608348735,-0.9310369774013783,13484.282607336152,13331.644841252664,stop_loss,6,2027-06-06
long,27.887100219726562,27.68522780282157,478.05776635830455,-96.50667671495383,26.566783005790377,-123.07345972074421,-0.7238917467732753,13331.644841252664,13208.57138153192,stop_loss,14,2027-06-22
long,27.649999618530273,27.463571548461914,477.70602400587,-89.0578121154437,26.328084950948394,-115.38589706639209,-0.6742425773612726,13208.57138153192,13093.185484465528,stop_loss,34,2027-08-03
short,27.450000762939453,27.72930118015834,468.78503135941924,-130.93185484465528,25.867230791785964,-156.79908563644125,-1.0174878304410662,13093.185484465528,12936.386398829087,stop_loss,21,2027-08-26
long,27.905000686645508,27.735013961791992,463.58667194084865,-78.80358004896605,25.79396921760921,-104.59754926657527,-0.6091622313948442,12936.386398829087,12831.788849562512,stop_loss,0,2027-09-14
short,27.559999465942383,27.779985427856445,465.5946697466216,-102.4242912862708,25.766001990411297,-128.1902932766821,-0.7982074244446746,12831.788849562512,12703.59855628583,stop_loss,73,2027-11-28
long,27.899999618530273,27.770449848175048,455.3261193540846,-58.98739419905777,25.3482097183726,-84.33560391743038,-0.464336100811924,12703.59855628583,12619.262952368399,stop_loss,1,2027-12-02
short,27.600000381469727,27.789314814976283,457.2196658678601,-86.55828203183094,25.32508418676863,-111.88336621859958,-0.6859218510506304,12619.262952368399,12507.3795861498,stop_loss,3,2027-12-07
